Count	Cluster	Cmi	Cpl	Ler	Loc	Gga	Xtr
5	CL00868	Cmi03	Cpl09		Loc16	Gga03	Xtr05
5	CL00882	Cmi03		Ler08	Loc01	Gga03	Xtr05
4	CL00119	Cmi03	CplSca	Ler05	Loc16	Gga03	Xtr05
4	CL00896	Cmi03		Ler05	Loc16	Gga03	Xtr05
4	CL00900		Cpl03	Ler05	Loc16	Gga03	Xtr05
4	CL00902	Cmi03	Cpl09	Ler08	Loc01		Xtr05
4	CL00908	Cmi03			Loc16	Gga03	
4	CL00912	Cmi03	Cpl03		Loc16	Gga03	Xtr05
4	CL00924		Cpl03	Ler05	Loc01	Gga03	Xtr05
4	CL00933	Cmi03	Cpl03	Ler05	Loc16	Gga03	
4	CL00936		Cpl09	Ler08	Loc16		Xtr05
3	CL00131	CmiSca	Cpl03	Ler05	Loc01	Gga03	Xtr05
3	CL00142	CmiSca	Cpl09	Ler08	Loc01	Gga03	Xtr05
3	CL00661	Cmi03	Cpl09			Gga03	
3	CL00941	Cmi03	Cpl03		Loc01		
3	CL00961	Cmi03	Cpl03	Ler05			Xtr05
3	CL00963	Cmi03	Cpl09	Ler08	Loc01	Gga03	
3	CL00986	Cmi03	Cpl03			Gga03	Xtr05
3	CL00988	Cmi03	Cpl09				Xtr05
3	CL01006		Cpl03	Ler05			Xtr05
3	CL01026	Cmi03			Loc01		Xtr05
3	CL01029		Cpl03	Ler05		Gga03	
2	CL00171	Cmi03	Cpl15	Ler08	Loc16	Gga03	Xtr03
2	CL00185	Cmi03	CplSca	Ler08	Loc01	Gga03	Xtr05
2	CL00186	Cmi03	Cpl03	Ler05	Loc16	Gga03	Xtr10
2	CL00202	CmiSca	Cpl09	Ler08	LocSca	Gga03	Xtr05
2	CL00311	Cmi03	Cpl09	Ler08	Loc16	Gga24	Xtr09
2	CL00400	Cmi03	CplSca12261	Ler08	Loc16	Gga03	Xtr05
2	CL00402	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr08
2	CL00409	Cmi03	Cpl09	Ler08	Loc08	Gga03	Xtr05
2	CL00411	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr04
2	CL00412	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr08
2	CL01060	Cmi03	Cpl03		Loc01		Xtr05
2	CL01072	Cmi03			Loc16	Gga03	Xtr05
2	CL01075		Cpl09	Ler08	LocSca	Gga03	Xtr05
2	CL01095	Cmi03	Cpl09	Ler08		Gga03	
2	CL01150	Cmi03		Ler08	Loc01		Xtr05
2	CL01166	Cmi03	Cpl09		Loc16		Xtr05
2	CL01167	Cmi03			Loc01	Gga03	
2	CL01200	Cmi03			Loc16		Xtr05
2	CL01201	Cmi03		Ler08			Xtr05
2	CL01202	Cmi03				Gga03	Xtr05
1	CL00208	CmiSca924	Cpl03, CplSca10011, CplSca12723, CplSca15105	LerSca398, LerSca209, LerSca301, LerSca938, LerSca82, LerSca1241	Loc01	Gga09	Xtr02
1	CL00220	Cmi03	Cpl03, CplSca256	Ler09, LerSca76	Loc16	Gga03	Xtr05
1	CL00233	Cmi03	Cpl10	Ler09	Loc01	Gga03	Xtr05
1	CL00254	Cmi03	Cpl03	Ler05	Loc11	Gga03	Xtr05
1	CL00294	Cmi03	Cpl12	Ler13	Loc01	Gga28	Xtr01
1	CL00310	Cmi03	Cpl09	Ler08	Loc16	Gga07	Xtr05
1	CL00313	Cmi03	Cpl41	Ler08	Loc16	Gga03	Xtr05
1	CL00325	Cmi10	Cpl09	Ler08, LerSca596	Loc01	Gga03	Xtr05
1	CL00350	CmiSca1219	Cpl03	Ler05	Loc16, LocSca1655	Gga03	Xtr05
1	CL00365	Cmi01	Cpl03	LerSca167	Loc16	Gga03	Xtr05
1	CL00399	Cmi03	Cpl09	Ler08	Loc01	Gga01	Xtr03
1	CL00401	Cmi03	Cpl03	Ler05	Loc01	Gga25	Xtr08
1	CL00403	Cmi03	Cpl03	Ler05	Loc01	Gga02	Xtr06
1	CL00405	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr01
1	CL00406	Cmi03	Cpl03	Ler05	Loc01	Gga03	Xtr07
1	CL00407	Cmi03	Cpl09	Ler08	Loc16	Gga03	Xtr01
1	CL00408	Cmi03	Cpl09	Ler08	Loc16	Gga02	Xtr05
1	CL00410	Cmi03	Cpl09	Ler08	Loc01	Gga05	Xtr05
1	CL00413	Cmi03	Cpl09	Ler08	Loc01	Gga20	Xtr05
1	CL00415	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr03
1	CL00416	Cmi03	Cpl09	Ler08	Loc01	Gga07	Xtr05
1	CL00417	Cmi03	CplSca63827	Ler05	LocSca51	Gga03	Xtr05
